subjID dHierarchical kHierarchical dBasic kBasic
1 0.753587280200254 0.0722383114111558 0.622834214133577 0.108160781450788
2 1.26626069509826 -0.0820021324001942 1.4294567643816 -0.134257137133671
3 1.11392170274183 -0.0372336996267075 1.1859556389839 -0.057147303847211
4 0.924891995963272 0.0541176061219721 0.889230848308843 0.083462296281277
5 1.12407534284907 0.336456758128924 1.28756379700105 0.542143929618756
6 1.35317706149297 -0.0416865385903276 1.57037459165489 -0.0663367396457922
7 0.99998256173974 0.0562921880908314 1.00154230484411 0.0890959465902945
8 1.32686614393229 -0.187455355667215 1.57122741068573 -0.313234274851533
9 0.449093544038528 -0.0873186284290996 0.270695272098 -0.125072299637468
10 0.711326541643524 0.0870450705179434 0.577454529539548 0.131581337696075
