X resp
-6 0
-6 0
-6 0
-6 0
-6 0
-6 0
-6 0
-6 0
-6 0
-6 0
-6 0
-6 0
-6 0
-6 0
-6 0
-6 0
-6 0
-6 0
-6 0
-6 0
-4 0
-4 0
-4 0
-4 0
-4 0
-4 0
-4 0
-4 0
-4 0
-4 0
-4 0
-4 0
-4 0
-4 0
-4 0
-4 0
-4 0
-4 0
-4 0
-4 0
-2 0
-2 0
-2 0
-2 0
-2 0
-2 0
-2 0
-2 0
-2 0
-2 0
-2 0
-2 0
-2 0
-2 0
-2 0
-2 0
-2 0
-2 0
-2 0
-2 0
0 0
0 0
0 0
0 0
0 0
0 1
0 0
0 0
0 0
0 0
0 1
0 1
0 0
0 1
0 0
0 0
0 0
0 0
0 1
0 1
2 1
2 1
2 0
2 1
2 0
2 1
2 0
2 0
2 1
2 1
2 0
2 1
2 1
2 1
2 0
2 1
2 0
2 1
2 1
2 1
4 1
4 1
4 1
4 1
4 1
4 1
4 1
4 1
4 1
4 1
4 1
4 1
4 1
4 1
4 1
4 1
4 1
4 1
4 1
4 1
6 1
6 1
6 1
6 1
6 1
6 1
6 1
6 1
6 1
6 1
6 1
6 1
6 1
6 1
6 1
6 0
6 1
6 1
6 1
6 1
